Image,Instance_ID,Area_pixels,Perimeter_pixels,Width_pixels,Height_pixels,Bounding_Box_Area,Min_Enclosing_Circle_Radius,Min_Enclosing_Circle_Area,Min_Area_Rect_Area,Centroid_X,Centroid_Y,Circularity,Compactness,Aspect_Ratio,Rectangularity,Circle_Ratio,Convexity,Solidity,Shape_Complexity,Hull_Area,Hull_Perimeter,Major_Axis,Minor_Axis,Eccentricity,Ellipse_Ratio,Max_Inscribed_Circle_Radius,Mean_Distance_to_Boundary,Std_Distance_to_Boundary,Skeleton_Length,Branch_Points,End_Points,Mean_Intensity,Std_Intensity,Min_Intensity,Max_Intensity,Intensity_Range
1,1,453.0,80.76955199241638,24,26,624,12.866673469543457,520.0947044298364,575.0,396.86395263671875,207.1836700439453,0.8725949959000984,1.1460070304075958,0.9230769230769231,0.7259615384615384,0.8709952171049498,0.9710610932475884,0.9710610932475884,1.0450174221982353,466.5,77.29014873504639,25.128435134887695,23.04180145263672,0.3989762577679115,0.9961539163126039,11.7876,4.4346666,2.8133268,4,0,2,1.0,0.0,1,1,0
1,2,424.5,76.5269113779068,23,24,552,12.272733688354492,473.18666093300027,506.0,580.2857055664062,706.5,0.9108758492401255,1.0978444546907506,0.9583333333333334,0.7690217391304348,0.8971089742111434,0.9849187935034803,0.9849187935034803,1.0264746219029932,431.0,74.5531450510025,23.831838607788086,22.75710678100586,0.29691623558642355,0.9965824084270248,11.7876,4.3477535,2.7363489,4,0,2,1.0,0.0,1,1,0
1,3,281.5,62.870057225227356,19,20,380,10.404426574707031,340.08397805767686,342.0,335.0,681.5,0.8949536670823435,1.1173762807857084,0.95,0.7407894736842106,0.8277367302268464,0.9774305555555556,0.9774305555555556,1.0301550031766313,288.0,61.02970623970032,20.027957916259766,17.99357032775879,0.4391318760241766,0.9945680462643904,9.196899,3.6174147,2.2009823,3,0,2,1.0,0.0,1,1,0
1,4,6158.0,305.90663504600525,94,91,8554,48.540409088134766,7402.130492054631,7495.501292075962,344.3212585449219,929.7935791015625,0.8269357256417771,1.2092838282248712,1.032967032967033,0.7198971241524433,0.8319226480281499,0.9762980578676179,0.9762980578676179,1.060669010716039,6307.5,288.40913796424866,89.76538848876953,89.69520568847656,0.03953584106362578,0.9738042335904331,40.3938,14.2895355,9.706237,60,4,3,1.0,0.0,1,1,0
1,5,384.0,73.94112491607666,23,23,529,11.849189758300781,441.0899693110753,484.0,939.1363525390625,169.13636779785156,0.8826102797989687,1.1330028925425264,1.0,0.725897920604915,0.8705706924139709,0.973384030418251,0.973384030418251,1.0404868223288606,394.5,71.0639705657959,22.759063720703125,21.583248138427734,0.3172666185657169,0.9953369975598375,10.984499,4.12276,2.58833,3,0,2,1.0,0.0,1,1,0
1,6,667.0,96.91168737411499,31,30,930,15.266340255737305,732.1831803533017,840.4999332144507,190.9069061279297,688.292724609375,0.8924489589330742,1.120512260102251,1.0333333333333334,0.7172043010752688,0.910974217788165,0.9801616458486407,0.9801616458486407,1.0402407025985871,680.5,93.1627527475357,29.60102081298828,28.841474533081055,0.2250789122660411,0.9947450899626223,14.581398,5.254748,3.3967905,4,0,2,1.0,0.0,1,1,0
1,7,679.0,97.25483322143555,31,29,899,15.725909233093262,776.9291245471891,840.0,306.9773864746094,862.8818969726562,0.9021053354412873,1.1085179975250063,1.0689655172413792,0.7552836484983315,0.8739535931230995,0.9826338639652678,0.9826338639652678,1.0348828706524504,691.0,93.97665762901306,30.811397552490234,28.103363037109375,0.409947043490345,0.998412941393048,14.581398,5.326806,3.4434688,3,0,2,1.0,0.0,1,1,0
1,8,950.5,117.9827550649643,37,36,1332,18.703720092773438,1099.0206729137751,1201.2000107916538,586.703369140625,794.0932006835938,0.8580743470806643,1.165400181700099,1.0277777777777777,0.7135885885885885,0.8648608924525413,0.9743721168631471,0.9743721168631471,1.0527623676836415,975.5,112.06969273090363,35.47478103637695,34.48717498779297,0.23431663325354077,0.9892017948081738,16.590698,6.105461,3.9748693,8,0,2,1.0,0.0,1,1,0
1,9,298.0,64.28427076339722,20,20,400,10.569437980651855,350.95680051339457,361.0,225.07940673828125,175.6459197998047,0.9061846154763319,1.1035278936779946,1.0,0.745,0.8491073532812953,0.9834983498349835,0.9834983498349835,1.025079039671658,303.0,62.71152591705322,20.319700241088867,18.803104400634766,0.37908152918947535,0.9930692364878672,9.7876,3.7115715,2.2676587,1,0,0,1.0,0.0,1,1,0
1,10,337.5,69.35533845424652,22,22,484,11.296189308166504,400.879452459913,433.9999814358889,810.086181640625,94.0862045288086,0.8817061099474385,1.1341647616115684,1.0,0.6973140495867769,0.8418989746892782,0.974025974025974,0.974025974025974,1.0381064278888508,346.5,66.80946826934814,21.927762985229492,19.705665588378906,0.43864007340960043,0.9944855086357599,10.187599,3.8762772,2.4024084,2,0,2,1.0,0.0,1,1,0
